ENTREZID	SYMBOL	ENSEMBL	GENENAME
102725509	LINC01232	NA	long intergenic non-protein coding RNA 1232
9375	TM9SF2	ENSG00000125304	transmembrane 9 superfamily member 2
104355149	LINC01039	NA	long intergenic non-protein coding RNA 1039
171425	CLYBL	ENSG00000125246	citramalyl-CoA lyase
100422861	MIR4306	ENSG00000263615	microRNA 4306
100874063	CLYBL-AS2	ENSG00000227659	CLYBL antisense RNA 2
101927465	CLYBL-AS1	ENSG00000234303	CLYBL antisense RNA 1
101927437	CLYBL-AS3	NA	CLYBL antisense RNA 3
85416	ZIC5	ENSG00000139800	Zic family member 5
7546	ZIC2	ENSG00000043355	Zic family member 2
100861542	LINC00554	ENSG00000260738	long intergenic non-protein coding RNA 554
5095	PCCA	ENSG00000175198	propionyl-CoA carboxylase subunit alpha
100885777	PCCA-AS1	NA	PCCA antisense RNA 1
87769	GGACT	ENSG00000134864	gamma-glutamylamine cyclotransferase
84899	TMTC4	ENSG00000125247	transmembrane O-mannosyltransferase targeting cadherins 4
105370368	NA	NA	NA
100885778	NALCN-AS1	ENSG00000233009	NALCN antisense RNA 1
100874161	LINC00411	NA	long intergenic non-protein coding RNA 411
259232	NALCN	ENSG00000102452	sodium leak channel, non-selective
9358	ITGBL1	ENSG00000198542	integrin subunit beta like 1
2259	FGF14	ENSG00000102466	fibroblast growth factor 14
100616110	MIR2681	ENSG00000265164	microRNA 2681
100616239	MIR4705	ENSG00000264482	microRNA 4705
283480	FGF14-IT1	ENSG00000243319	FGF14 intronic transcript 1
100874081	FGF14-AS1	ENSG00000234445	FGF14 antisense RNA 1
283481	FGF14-AS2	ENSG00000272143	FGF14 antisense RNA 2
7174	TPP2	ENSG00000134900	tripeptidyl peptidase 2
196541	METTL21C	ENSG00000139780	methyltransferase 21C, AARS1 lysine
643677	CCDC168	ENSG00000175820	coiled-coil domain containing 168
93081	TEX30	ENSG00000151287	testis expressed 30
79070	POGLUT2	ENSG00000134901	protein O-glucosyltransferase 2
54841	BIVM	ENSG00000134897	basic, immunoglobulin-like variable motif containing
100533467	BIVM-ERCC5	ENSG00000270181	BIVM-ERCC5 readthrough
2073	ERCC5	ENSG00000134899	ERCC excision repair 5, endonuclease
121952	METTL21EP	ENSG00000250878	methyltransferase like 21E, pseudogene
6555	SLC10A2	ENSG00000125255	solute carrier family 10 member 2
104326190	LINC01309	NA	long intergenic non-protein coding RNA 1309
282706	DAOA-AS1	ENSG00000232307	DAOA antisense RNA 1
267012	DAOA	ENSG00000182346	D-amino acid oxidase activator
144920	LINC00343	ENSG00000226620	long intergenic non-protein coding RNA 343
728192	LINC00460	ENSG00000233532	long intergenic non-protein coding RNA 460
1948	EFNB2	ENSG00000125266	ephrin B2
55082	ARGLU1	ENSG00000134884	arginine and glutamate rich 1
283483	ARGLU1-DT	ENSG00000272274	ARGLU1 divergent transcript
100874173	LINC00443	ENSG00000230156	long intergenic non-protein coding RNA 443
728215	NALF1	ENSG00000204442	NALCN channel auxiliary factor 1
100302286	MIR1267	ENSG00000221650	microRNA 1267
100874375	NALF1-IT1	NA	NALF1 intronic transcript 1
3981	LIG4	ENSG00000174405	DNA ligase 4
84945	ABHD13	ENSG00000139826	abhydrolase domain containing 13
10673	TNFSF13B	ENSG00000102524	TNF superfamily member 13b
23026	MYO16	ENSG00000041515	myosin XVI
100885782	MYO16-AS1	ENSG00000236242	MYO16 antisense RNA 1
104326054	LINC00399	ENSG00000229792	long intergenic non-protein coding RNA 399
101409253	LINC00676	ENSG00000234854	long intergenic non-protein coding RNA 676
8660	IRS2	ENSG00000185950	insulin receptor substrate 2
104355146	LINC00396	ENSG00000231428	long intergenic non-protein coding RNA 396
1282	COL4A1	ENSG00000187498	collagen type IV alpha 1 chain
1284	COL4A2	ENSG00000134871	collagen type IV alpha 2 chain
102465872	MIR8073	ENSG00000276765	microRNA 8073
100874203	COL4A2-AS1	ENSG00000232814	COL4A2 antisense RNA 1
55647	RAB20	ENSG00000139832	RAB20, member RAS oncogene family
55739	NAXD	ENSG00000213995	NAD(P)HX dehydratase
79587	CARS2	ENSG00000134905	cysteinyl-tRNA synthetase 2, mitochondrial
105376684	NA	NA	NA
3621	ING1	ENSG00000153487	inhibitor of growth family member 1
105370362	LOC105370362	NA	uncharacterized LOC105370362
283487	PRECSIT	ENSG00000255874	p53 regulated carcinoma associated Stat3 activating long intergenic non-protein coding transcript
55608	ANKRD10	ENSG00000088448	ankyrin repeat domain 10
104355135	LINC00431	NA	long intergenic non-protein coding RNA 431
101927802	LINC00368	NA	long intergenic non-protein coding RNA 368
8874	ARHGEF7	ENSG00000102606	Rho guanine nucleotide exchange factor 7
100874226	ARHGEF7-AS1	NA	ARHGEF7 antisense RNA 1
101060553	LOC101060553	NA	uncharacterized LOC101060553
121793	TEX29	ENSG00000153495	testis expressed 29
