"entrezgene_id","logFC_ours","logFC_study","diff_logFC","abs_diff_logFC","padj_ours","padj_study","sign_flip"
"54700",1.72476882898551,-0.200567107,1.92533593598551,1.92533593598551,0.0190502097611415,0.022595226,TRUE
"757",3.02403233031197,1.273433254,1.75059907631197,1.75059907631197,0.00184409793172332,8.78e-07,FALSE
"122509",-1.67783110041299,-0.383334566,-1.29449653441299,1.29449653441299,0.0167827858244004,0.049633334,FALSE
"8227",1.49940775370856,0.310304506,1.18910324770856,1.18910324770856,0.0282550654816845,0.004953752,FALSE
"2629",1.52560528352364,0.389953958,1.13565132552364,1.13565132552364,0.0442615232655271,0.000533369,FALSE
"4676",-1.23363115615692,-0.225394812,-1.00823634415692,1.00823634415692,0.00109757273330109,0.000971616,FALSE
"283849",1.46124824119451,2.446139799,-0.984891557805493,0.984891557805493,5.58859906796178e-06,0.003112354,FALSE
"5837",1.21154378056166,2.067105735,-0.855561954438344,0.855561954438344,0.0270963238461209,0.018252895,FALSE
"2875",0.884072570939215,1.719415044,-0.835342473060785,0.835342473060785,0.0015090926735717,0.034023588,FALSE
"79812",0.498061570361782,1.263922485,-0.765860914638218,0.765860914638218,0.0430087521787134,0.036221423,FALSE
"10900",1.69625183026781,2.379565051,-0.683313220732189,0.683313220732189,2.63917689622253e-05,0.025881837,FALSE
"152559",0.828290744803255,0.198592694,0.629698050803255,0.629698050803255,9.79145803313397e-10,0.013613824,FALSE
"10297",0.910533494702449,1.478752903,-0.568219408297551,0.568219408297551,7.09385553571658e-05,0.00041795,FALSE
"1159",0.86856859546295,1.412623718,-0.54405512253705,0.54405512253705,0.00649110402336759,0.011344461,FALSE
"10085",1.53926042871241,2.045873684,-0.50661325528759,0.50661325528759,0.00551169798612379,0.021077392,FALSE
