NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_XENOBIOTIC_METABOLIC_PROCESS	GOBP_XENOBIOTIC_METABOLIC_PROCESS		17	0.31687102	0.84034127	0.6828859	0.9310207	1.0	211	tags=18%, list=9%, signal=19%	
GOBP_DEVELOPMENTAL_GROWTH	GOBP_DEVELOPMENTAL_GROWTH		115	0.21526349	0.8388104	0.78911567	0.93247604	1.0	280	tags=17%, list=13%, signal=19%	
GOBP_FAT_CELL_DIFFERENTIATION	GOBP_FAT_CELL_DIFFERENTIATION		36	0.2624045	0.83831465	0.7029549	0.9319169	1.0	116	tags=11%, list=5%, signal=12%	
GOBP_NEGATIVE_REGULATION_OF_PROGRAMMED_CELL_DEATH	GOBP_NEGATIVE_REGULATION_OF_PROGRAMMED_CELL_DEATH		118	0.21464601	0.83786315	0.78513515	0.9313011	1.0	403	tags=20%, list=18%, signal=24%	
GOBP_MONONUCLEAR_CELL_DIFFERENTIATION	GOBP_MONONUCLEAR_CELL_DIFFERENTIATION		70	0.22914921	0.8368812	0.7101025	0.9317489	1.0	420	tags=24%, list=19%, signal=29%	
GOBP_NEURON_PROJECTION_EXTENSION	GOBP_NEURON_PROJECTION_EXTENSION		33	0.26732033	0.83685637	0.69391024	0.93027425	1.0	490	tags=30%, list=22%, signal=38%	
GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS	GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS		77	0.2268759	0.835904	0.73994255	0.9305582	1.0	712	tags=43%, list=32%, signal=61%	
GOBP_CELLULAR_RESPONSE_TO_METAL_ION	GOBP_CELLULAR_RESPONSE_TO_METAL_ION		31	0.2737301	0.8334727	0.68122977	0.93375266	1.0	660	tags=35%, list=30%, signal=50%	
GOBP_REGULATION_OF_ORGAN_GROWTH	GOBP_REGULATION_OF_ORGAN_GROWTH		19	0.3042278	0.8331741	0.67980295	0.932845	1.0	405	tags=26%, list=18%, signal=32%	
GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS	GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS		47	0.24866535	0.832829	0.73974764	0.9319782	1.0	490	tags=28%, list=22%, signal=35%	
GOBP_POSITIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS		15	0.32461438	0.83262026	0.6574225	0.9308787	1.0	281	tags=33%, list=13%, signal=38%	
GOBP_NERVE_DEVELOPMENT	GOBP_NERVE_DEVELOPMENT		16	0.31867528	0.83196086	0.6790924	0.9306115	1.0	310	tags=25%, list=14%, signal=29%	
GOBP_PROTEIN_COMPLEX_OLIGOMERIZATION	GOBP_PROTEIN_COMPLEX_OLIGOMERIZATION		37	0.25627634	0.8317569	0.71253824	0.92950773	1.0	393	tags=24%, list=18%, signal=29%	
GOBP_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION	GOBP_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION		54	0.24477385	0.83063686	0.7211094	0.9301597	1.0	271	tags=20%, list=12%, signal=23%	
GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION	GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION		17	0.30587003	0.8304221	0.69357497	0.9290279	1.0	420	tags=29%, list=19%, signal=36%	
GOBP_AMINO_ACID_TRANSPORT	GOBP_AMINO_ACID_TRANSPORT		15	0.3187641	0.830086	0.67425567	0.92813396	1.0	641	tags=40%, list=29%, signal=56%	
GOBP_FIBROBLAST_PROLIFERATION	GOBP_FIBROBLAST_PROLIFERATION		16	0.3098665	0.82939786	0.6818951	0.9278746	1.0	512	tags=31%, list=23%, signal=40%	
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY		25	0.27937773	0.82615036	0.7066246	0.9324064	1.0	349	tags=28%, list=16%, signal=33%	
GOBP_STEM_CELL_DIFFERENTIATION	GOBP_STEM_CELL_DIFFERENTIATION		37	0.25987056	0.825211	0.7359636	0.9326242	1.0	810	tags=51%, list=36%, signal=79%	
GOBP_POSITIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_PROTEIN_KINASE_B_SIGNAL_TRANSDUCTION	GOBP_POSITIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_PROTEIN_KINASE_B_SIGNAL_TRANSDUCTION		32	0.2673143	0.82403994	0.70229006	0.93328005	1.0	501	tags=34%, list=22%, signal=44%	
GOBP_VENTRICULAR_SEPTUM_DEVELOPMENT	GOBP_VENTRICULAR_SEPTUM_DEVELOPMENT		22	0.29290786	0.8236079	0.7072368	0.9325947	1.0	405	tags=23%, list=18%, signal=27%	
GOBP_REGULATION_OF_DEVELOPMENTAL_GROWTH	GOBP_REGULATION_OF_DEVELOPMENTAL_GROWTH		53	0.24122906	0.82080615	0.7402985	0.93628335	1.0	246	tags=17%, list=11%, signal=19%	
GOBP_SENSORY_PERCEPTION	GOBP_SENSORY_PERCEPTION		56	0.23591366	0.8207882	0.74310595	0.9348226	1.0	884	tags=50%, list=40%, signal=81%	
GOBP_ENDOTHELIAL_CELL_PROLIFERATION	GOBP_ENDOTHELIAL_CELL_PROLIFERATION		20	0.29483753	0.8185778	0.7114094	0.9373989	1.0	234	tags=20%, list=10%, signal=22%	
GOBP_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS	GOBP_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS		16	0.31235602	0.81672543	0.701209	0.93943596	1.0	281	tags=25%, list=13%, signal=28%	
GOBP_MIRNA_TRANSCRIPTION	GOBP_MIRNA_TRANSCRIPTION		17	0.30523437	0.81505585	0.71404684	0.9409792	1.0	420	tags=29%, list=19%, signal=36%	
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN		25	0.275873	0.8149978	0.7085427	0.93958217	1.0	362	tags=20%, list=16%, signal=24%	
GOBP_SYMBIONT_ENTRY_INTO_HOST	GOBP_SYMBIONT_ENTRY_INTO_HOST		22	0.28325027	0.8144076	0.7210084	0.93909806	1.0	349	tags=27%, list=16%, signal=32%	
GOBP_REGULATION_OF_LEUKOCYTE_MIGRATION	GOBP_REGULATION_OF_LEUKOCYTE_MIGRATION		29	0.27521175	0.8142068	0.7305296	0.9379579	1.0	491	tags=28%, list=22%, signal=35%	
GOBP_LIPID_CATABOLIC_PROCESS	GOBP_LIPID_CATABOLIC_PROCESS		40	0.24823095	0.8141792	0.7456829	0.9365408	1.0	712	tags=48%, list=32%, signal=68%	
GOBP_POSITIVE_REGULATION_OF_LOCOMOTION	GOBP_POSITIVE_REGULATION_OF_LOCOMOTION		89	0.21893567	0.81162417	0.80055404	0.9397448	1.0	512	tags=25%, list=23%, signal=31%	
GOBP_RESPONSE_TO_ESTRADIOL	GOBP_RESPONSE_TO_ESTRADIOL		15	0.31334153	0.81155473	0.7058824	0.9383896	1.0	420	tags=33%, list=19%, signal=41%	
GOBP_B_CELL_ACTIVATION	GOBP_B_CELL_ACTIVATION		37	0.25722063	0.80999386	0.7565084	0.9396597	1.0	420	tags=27%, list=19%, signal=33%	
GOBP_B_CELL_DIFFERENTIATION	GOBP_B_CELL_DIFFERENTIATION		19	0.28952134	0.8099902	0.7181664	0.93818915	1.0	485	tags=32%, list=22%, signal=40%	
GOBP_STEROL_METABOLIC_PROCESS	GOBP_STEROL_METABOLIC_PROCESS		22	0.2797744	0.80743945	0.7249575	0.94116515	1.0	677	tags=45%, list=30%, signal=65%	
GOBP_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	GOBP_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY		20	0.28591648	0.8042978	0.71732026	0.94516814	1.0	390	tags=35%, list=17%, signal=42%	
GOBP_GLYCOSPHINGOLIPID_METABOLIC_PROCESS	GOBP_GLYCOSPHINGOLIPID_METABOLIC_PROCESS		16	0.29938897	0.8019996	0.72727275	0.9478091	1.0	322	tags=25%, list=14%, signal=29%	
GOBP_RIBONUCLEOTIDE_CATABOLIC_PROCESS	GOBP_RIBONUCLEOTIDE_CATABOLIC_PROCESS		20	0.2864915	0.8002792	0.72141707	0.94923806	1.0	335	tags=30%, list=15%, signal=35%	
GOBP_SPHINGOLIPID_BIOSYNTHETIC_PROCESS	GOBP_SPHINGOLIPID_BIOSYNTHETIC_PROCESS		20	0.28412515	0.799525	0.7380952	0.9490909	1.0	495	tags=35%, list=22%, signal=45%	
