NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_STEROL_TRANSPORT	GOBP_STEROL_TRANSPORT		21	-0.54816127	-1.6902733	0.00867052	0.07082589	0.991	49	tags=24%, list=2%, signal=24%	
GOBP_POSITIVE_REGULATION_OF_KINASE_ACTIVITY	GOBP_POSITIVE_REGULATION_OF_KINASE_ACTIVITY		18	-0.56230474	-1.6879668	0.01897019	0.07113936	0.992	325	tags=39%, list=15%, signal=45%	
GOBP_RESPONSE_TO_LIGHT_STIMULUS	GOBP_RESPONSE_TO_LIGHT_STIMULUS		43	-0.4506489	-1.6840509	0.01179941	0.0722868	0.993	222	tags=23%, list=10%, signal=25%	
GOBP_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS	GOBP_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS		22	-0.5174728	-1.6825261	0.010526316	0.07216465	0.993	106	tags=27%, list=5%, signal=28%	
GOBP_POSITIVE_REGULATION_OF_DNA_REPAIR	GOBP_POSITIVE_REGULATION_OF_DNA_REPAIR		18	-0.5512633	-1.6652361	0.024449877	0.081509896	0.996	398	tags=61%, list=18%, signal=74%	
GOBP_DNA_INTEGRITY_CHECKPOINT_SIGNALING	GOBP_DNA_INTEGRITY_CHECKPOINT_SIGNALING		28	-0.5011478	-1.6641319	0.020618556	0.08103083	0.996	384	tags=57%, list=17%, signal=68%	
GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY	GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY		54	-0.43771368	-1.6619542	0.0	0.081140436	0.996	368	tags=46%, list=16%, signal=54%	
GOBP_NUCLEOSOME_ORGANIZATION	GOBP_NUCLEOSOME_ORGANIZATION		15	-0.57713354	-1.6602628	0.015	0.08102794	0.996	380	tags=40%, list=17%, signal=48%	
GOBP_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEGREGATION	GOBP_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEGREGATION		15	-0.5927157	-1.6576595	0.016826924	0.08149285	0.997	273	tags=60%, list=12%, signal=68%	
GOBP_ORGANELLE_MEMBRANE_FUSION	GOBP_ORGANELLE_MEMBRANE_FUSION		20	-0.5272486	-1.6446401	0.020833334	0.08944125	0.999	327	tags=50%, list=15%, signal=58%	
GOBP_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION	GOBP_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION		17	-0.55048025	-1.6364467	0.0315534	0.093629904	0.999	247	tags=59%, list=11%, signal=66%	
GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR	GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR		20	-0.5248848	-1.6278547	0.041769043	0.098480426	0.999	233	tags=45%, list=10%, signal=50%	
GOBP_POSITIVE_REGULATION_OF_CELL_DIVISION	GOBP_POSITIVE_REGULATION_OF_CELL_DIVISION		16	-0.5611788	-1.6220095	0.025706941	0.10136064	0.999	282	tags=44%, list=13%, signal=50%	
GOBP_SPINDLE_ASSEMBLY	GOBP_SPINDLE_ASSEMBLY		18	-0.5381167	-1.6199573	0.029411765	0.10175102	0.999	330	tags=67%, list=15%, signal=78%	
GOBP_RNA_PROCESSING	GOBP_RNA_PROCESSING		87	-0.37868804	-1.6153128	0.0036630037	0.10336656	0.999	396	tags=44%, list=18%, signal=51%	
GOBP_RESPONSE_TO_HYDROGEN_PEROXIDE	GOBP_RESPONSE_TO_HYDROGEN_PEROXIDE		16	-0.5390809	-1.6134318	0.037135277	0.10349515	0.999	282	tags=44%, list=13%, signal=50%	
GOBP_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS	GOBP_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS		20	-0.5115098	-1.6042795	0.028571429	0.109528854	0.999	84	tags=20%, list=4%, signal=21%	
GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE	GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE		21	-0.51204085	-1.598483	0.02173913	0.112475045	0.999	251	tags=52%, list=11%, signal=58%	
GOBP_CHROMATIN_REMODELING	GOBP_CHROMATIN_REMODELING		71	-0.38849115	-1.5901147	0.0031152647	0.11756187	0.999	398	tags=41%, list=18%, signal=48%	
GOBP_NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS	GOBP_NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS		20	-0.5155097	-1.5870912	0.028985508	0.11870472	1.0	133	tags=20%, list=6%, signal=21%	
GOBP_POSITIVE_REGULATION_OF_CATALYTIC_ACTIVITY	GOBP_POSITIVE_REGULATION_OF_CATALYTIC_ACTIVITY		51	-0.42038694	-1.5837578	0.015060241	0.12024228	1.0	325	tags=33%, list=15%, signal=38%	
GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS	GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS		35	-0.45072943	-1.5770323	0.02601156	0.124210075	1.0	416	tags=46%, list=19%, signal=55%	
GOBP_MEMBRANE_FUSION	GOBP_MEMBRANE_FUSION		23	-0.48833054	-1.5744586	0.027431421	0.12476515	1.0	127	tags=30%, list=6%, signal=32%	
GOBP_RESPONSE_TO_UV	GOBP_RESPONSE_TO_UV		27	-0.4703328	-1.5540575	0.019178081	0.14119145	1.0	222	tags=30%, list=10%, signal=33%	
GOBP_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	GOBP_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR		21	-0.4924738	-1.536023	0.043701798	0.15597789	1.0	225	tags=43%, list=10%, signal=47%	
GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY	GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY		71	-0.37609303	-1.5326998	0.0102739725	0.1579096	1.0	83	tags=13%, list=4%, signal=13%	
GOBP_NEGATIVE_REGULATION_OF_HEMOPOIESIS	GOBP_NEGATIVE_REGULATION_OF_HEMOPOIESIS		25	-0.46749794	-1.5310205	0.040816326	0.15809838	1.0	165	tags=20%, list=7%, signal=21%	
GOBP_SIGNAL_TRANSDUCTION_IN_RESPONSE_TO_DNA_DAMAGE	GOBP_SIGNAL_TRANSDUCTION_IN_RESPONSE_TO_DNA_DAMAGE		41	-0.41915473	-1.5266268	0.029649595	0.16080365	1.0	341	tags=49%, list=15%, signal=57%	
GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION		19	-0.49467957	-1.5117606	0.07160494	0.17487061	1.0	358	tags=63%, list=16%, signal=75%	
GOBP_FEMALE_GAMETE_GENERATION	GOBP_FEMALE_GAMETE_GENERATION		18	-0.5079534	-1.5062052	0.04292929	0.17952725	1.0	308	tags=44%, list=14%, signal=51%	
GOBP_POSITIVE_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	GOBP_POSITIVE_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION		20	-0.4714213	-1.4998211	0.067669176	0.18494241	1.0	316	tags=40%, list=14%, signal=46%	
GOBP_MYELOID_CELL_DEVELOPMENT	GOBP_MYELOID_CELL_DEVELOPMENT		20	-0.48964784	-1.4972098	0.06393862	0.18612513	1.0	25	tags=15%, list=1%, signal=15%	
GOBP_REGULATION_OF_NEURON_APOPTOTIC_PROCESS	GOBP_REGULATION_OF_NEURON_APOPTOTIC_PROCESS		33	-0.43464097	-1.4965802	0.040871933	0.18490267	1.0	154	tags=18%, list=7%, signal=19%	
