"gene_id","baseMean","logFC","lfcSE","stat","pvalue","FDR"
148398,182.874788759522,1.60335263345958,0.307041308005522,5.22194438225475,1.77054151615901e-07,1.8472533412181e-06
401934,380.795872396128,0.77832177062747,0.237607747261211,3.27565822073904,0.00105416048046189,0.00430591316974252
64856,7629.57664331912,0.863555277628321,0.222196053748001,3.88645641118228,0.000101718181065766,0.000558534884198146
2782,21911.5707539555,0.794360884819301,0.078175409011244,10.1612629197124,2.95227181586377e-24,3.60381549584171e-22
339456,102.953450644668,0.989074393004097,0.347597839649236,2.84545609950333,0.00443478720155235,0.0148722819318331
63976,526.302658234902,0.57632008283721,0.207654547390529,2.77537906142428,0.00551374017843137,0.01784207644607
1953,1623.16470158399,0.798563684392946,0.19315914334416,4.13422668255528,3.56151816910559e-05,0.000218721872389847
7161,604.806574914927,0.912628836085231,0.153219375695247,5.95635396596609,2.57927374593153e-09,4.008863376512e-08
388588,128.731611168019,1.10310025144998,0.260063818689459,4.24165213372948,2.21880410598885e-05,0.000143130903894053
23463,8691.10405577024,0.900618827960046,0.0820638188800034,10.9746151257835,5.06209643045838e-28,8.45583244788884e-26
83715,978.03592061104,0.924756818962184,0.249551331734088,3.70567775589981,0.000210826208488405,0.00106717738516826
8718,309.833497622768,0.511304996480657,0.159750540487226,3.20064642611674,0.00137119678803252,0.00539804560389187
57449,1708.58494752967,0.650681862626354,0.169743724599343,3.83331910597696,0.000126425778799386,0.00067414337492186
54206,30281.1404780408,-0.823639132009942,0.183528305401587,-4.48780437550327,7.1960959167355e-06,5.23109693553256e-05
80176,2913.35070892184,0.536863831874047,0.16039298078719,3.34717784555896,0.000816388163681985,0.00344738258900198
26232,3453.82831959528,1.05688399841166,0.140308505081628,7.53257258208827,4.97502545836125e-14,1.60464794712875e-12
93611,1571.74699360178,0.700716465656604,0.0960455916470272,7.29566504449028,2.97187418453701e-13,8.63748561069923e-12
26270,873.407912828499,0.844716636493662,0.216025571915315,3.91026223888347,9.21959723065119e-05,0.000510844233425991
4524,1872.03850324657,0.83511346661332,0.0967297058857844,8.6334746804606,5.95158347984403e-18,3.38514975776505e-16
7133,930.206723725336,-0.527593308786949,0.138409009495532,-3.81184223996618,0.000137934905805562,0.000730360033442929
9249,9598.26641274272,0.660002797360425,0.137454663543458,4.80160352763701,1.57400097034646e-06,1.33073102815279e-05
348487,197.311571526184,0.92334695201706,0.224394675490052,4.11483449863763,3.87457313381338e-05,0.000235577015557412
1969,26273.2887541998,-0.549581433473109,0.145377619972976,-3.78037165263312,0.000156594428937271,0.000817433221317616
11240,3075.78424749345,0.788243570836008,0.242622768562016,3.24884418518424,0.00115874931190759,0.00467061032020867
55160,1724.03379607357,0.592906592931293,0.0992470829724563,5.97404553538204,2.31441155897351e-09,3.62560681434853e-08
100506730,125.717904296752,0.933257324198327,0.205496264758007,4.54148071887016,5.58604955246733e-06,4.14810577202171e-05
400745,428.200529239742,-0.59625708334151,0.224367230301834,-2.657505209381,0.00787213738078628,0.0240227000424811
84224,513.054929761129,0.570947785658176,0.11234910364852,5.08190779558299,3.7366279370998e-07,3.64677421487311e-06
2048,3679.48928815802,0.774956648876563,0.116915553417987,6.62834521345506,3.39470832887207e-11,7.32933693481236e-10
23028,10549.4825461128,0.687240251637762,0.107676351448939,6.38246228062117,1.74262959125862e-10,3.41404802267691e-09
7798,4545.2043335957,0.591254449169806,0.111921814929906,5.28274536595115,1.27262218970649e-07,1.36546595865127e-06
55616,692.510880391926,1.29664287682068,0.151835031744397,8.53981365119666,1.34438464877509e-17,7.30617807925068e-16
2517,2186.88817292432,0.507134286999712,0.134333240626774,3.77519580882228,0.000159882023506568,0.000833065114967521
58985,254.871618991377,0.871192656515572,0.255349532900391,3.41176522478862,0.000645436772605463,0.0028084552082468
57822,363.517414807356,0.735744051215208,0.246382996190678,2.98618030704444,0.00282486030307361,0.0101008806105171
25932,9942.75259275497,0.994037595677394,0.154331290416574,6.44093361102772,1.1874080708397e-10,2.37616376748489e-09
57134,89.723019446423,0.923880597027111,0.370639297523313,2.49266767771434,0.0126787450075453,0.0358963433585614
646471,80.6685623557578,0.680294925139658,0.250631893797464,2.71431905505772,0.00664121698321522,0.0208816073522176
164091,4549.54165540549,0.526969428192425,0.118062204478269,4.46348965379026,8.06354937307103e-06,5.79531091491233e-05
3925,21506.5661806668,-0.53877095696622,0.106659534940348,-5.05131545217724,4.3877773937253e-07,4.2097726397235e-06
79727,19.6478361921584,1.24131727193463,0.461122874525244,2.69194468657112,0.00710367258612925,0.0221188049916767
6195,3810.50073473283,-0.500817102562839,0.120790026149668,-4.1461792709796,3.38069172322324e-05,0.000209236337581238
115572,720.648983165599,0.748572473016928,0.203305556295225,3.68200695867804,0.000231405092928714,0.00115811216626245
9064,1175.53919725738,0.545513724995314,0.115788861999291,4.71127978612188,2.46166001547172e-06,1.9849362621935e-05
2827,216.177536563812,-0.921326199340225,0.271851236940559,-3.38908224111437,0.000701269745293969,0.00301583999676694
27245,2353.81845665588,0.514900860342193,0.0847494958870544,6.07556251459479,1.23553833509831e-09,2.04024535272373e-08
2537,7046.33052126511,0.892631904126267,0.345180440581778,2.58598633984532,0.00971007787135055,0.0287963419436483
9473,183.951330305121,1.03338621778004,0.15015099803241,6.88231334670837,5.88882997755238e-12,1.4399051296422e-10
6080,91.7725541543116,-0.539465569196842,0.172679610865121,-3.12408376700719,0.00178359671860562,0.0067842512769781
677838,98.0959663838422,-0.604134509911923,0.243024586659451,-2.48589872414223,0.0129224735137833,0.0364822508788876
9672,3576.84359941244,0.517568846957869,0.133879362651829,3.8659345003298,0.000110664637704561,0.000600388764353395
79570,148.036798802922,2.18662146719447,0.602443562503284,3.62958723985461,0.000283874780771474,0.00137677533498243
64129,19709.6008565763,-0.563227460650794,0.136513575578724,-4.12579817254875,3.69451167802009e-05,0.000225840546296228
1307,120.366133585424,0.823949829839171,0.273932554201835,3.00785655885236,0.00263097287591117,0.00949315792811148
84734,47.2445263445771,1.25137301732917,0.507857999019014,2.46402147794529,0.0137387878473401,0.0384273594138696
55108,3907.06570338504,-0.579909950951612,0.0831185127020666,-6.9769048085625,3.01754010909805e-12,7.66443872035571e-11
252995,91.1886674221916,1.56015045079577,0.327602738729799,4.76232420047793,1.91375897382602e-06,1.58835989307768e-05
113452,4286.67720663703,0.559377843981481,0.123399711993974,4.5330563170909,5.81363068261672e-06,4.29699605507428e-05
55223,638.15877760183,1.06832110861371,0.151984310219701,7.0291539111465,2.07789672736018e-12,5.441277750244e-11
1912,9127.24723119693,-0.730102731978579,0.0990843757572015,-7.36849504676336,1.72564943234056e-13,5.18642629579778e-12
2709,869.981813944176,0.576560216681765,0.201014418263777,2.86825304205386,0.00412745280164951,0.0139723397541521
58512,134.971842070958,1.37167121139305,0.379585803452357,3.61359987364547,0.000301974959400433,0.00145654730417188
653160,53.4394197890833,0.606849594043104,0.252606772420404,2.40234886906811,0.0162901642815749,0.0442103332596383
192670,1168.74156261297,0.915224112378657,0.119587358254348,7.65318446480008,1.96062347672257e-14,6.63393048019413e-13
