ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0009314	GO:0009314	response to radiation	38/666	374/13131	0.101604278074866	2.00325191501662	4.5498267206041	3.45983669958075e-05	0.00832551005548339	0.00772324732946651	8438/6121/51514/10276/23411/6240/2237/595/3014/867/10635/3845/51761/5888/54962/4313/55159/9212/8533/672/9241/10010/64859/7056/7150/993/1894/10874/23657/55294/5810/5562/1161/7518/1958/6591/4609/2776	38
GO:1901990	GO:1901990	regulation of mitotic cell cycle phase transition	33/666	306/13131	0.107843137254902	2.12625861155273	4.60779858702538	3.48424429634767e-05	0.00832551005548339	0.00772324732946651	55143/991/1031/163786/83540/51514/6240/7465/595/1111/144455/55055/55159/9212/79915/6605/672/80174/5932/147841/699/64859/994/11065/6790/993/891/54908/1021/2146/54984/301/10783	33
GO:0098813	GO:0098813	nuclear chromosome segregation	31/666	281/13131	0.110320284697509	2.17509858613061	4.60255763970625	3.8758840793537e-05	0.00855684891545103	0.00793785126610702	55143/991/11004/83540/23411/440145/90417/55055/9493/9212/6605/29893/29128/147841/23397/699/11065/6790/11144/56992/79598/1894/64151/84057/64105/891/9232/54908/55166/54984/10783	31
GO:0010389	GO:0010389	regulation of G2/M transition of mitotic cell cycle	16/666	100/13131	0.16	3.15459459459459	4.9991944530358	4.01410029131829e-05	0.00855684891545103	0.00793785126610702	51514/6240/7465/595/1111/9212/672/80174/5932/64859/994/6790/993/891/1021/54984	16
GO:1902749	GO:1902749	regulation of cell cycle G2/M phase transition	17/666	111/13131	0.153153153153153	3.01960068176284	4.93906614220701	4.14649066387495e-05	0.00855684891545103	0.00793785126610702	51514/6240/7465/595/1111/9212/79915/672/80174/5932/64859/994/6790/993/891/1021/54984	17
GO:0000086	GO:0000086	G2/M transition of mitotic cell cycle	19/666	134/13131	0.141791044776119	2.79558289632916	4.82902702455926	4.49285731595221e-05	0.00886850965844479	0.0082269666458237	991/51514/6240/7465/595/1111/9212/672/80174/5932/64859/994/6790/993/6502/891/1021/54984/9833	19
GO:1902850	GO:1902850	microtubule cytoskeleton organization involved in mitosis	21/666	159/13131	0.132075471698113	2.60402855685875	4.7036015436414	5.32429353148961e-05	0.0100717885970679	0.0093432010611798	3925/55143/991/163786/83540/9793/440145/10253/9493/9212/81565/29128/6790/56992/25886/79598/891/64946/54908/6867/10783	21
GO:0044839	GO:0044839	cell cycle G2/M phase transition	20/666	149/13131	0.134228187919463	2.64647197533104	4.67196962988804	6.33006019574121e-05	0.0113215143539415	0.0105025223580153	991/51514/6240/7465/595/1111/9212/79915/672/80174/5932/64859/994/6790/993/6502/891/1021/54984/9833	20
GO:1901988	GO:1901988	negative regulation of cell cycle phase transition	27/666	236/13131	0.114406779661017	2.25566880439762	4.49928775148872	6.48779074184453e-05	0.0113215143539415	0.0105025223580153	55143/991/83540/51514/7465/595/3014/1111/144455/5888/79968/54962/55055/55159/9212/672/146956/5932/147841/699/64859/8318/5810/891/54908/2146/54984	27
GO:0007077	GO:0007077	mitotic nuclear membrane disassembly	5/666	10/13131	0.5	9.85810810810811	6.47710361782003	6.73305919727799e-05	0.0113215143539415	0.0105025223580153	7465/1111/7443/993/10783	5
GO:0045931	GO:0045931	positive regulation of mitotic cell cycle	17/666	117/13131	0.145299145299145	2.86474936474937	4.68307737925432	8.19215827787504e-05	0.0132829994934117	0.0123221147630745	991/163786/51514/6240/7465/595/1111/80174/994/11065/6790/993/891/440/301/25/6990	17
GO:0007093	GO:0007093	mitotic cell cycle checkpoint signaling	18/666	129/13131	0.13953488372093	2.75109993714645	4.61980923788634	8.75815610660116e-05	0.0133243077054837	0.012360434762263	55143/991/83540/51514/595/1111/54962/55055/55159/9212/672/146956/5932/147841/699/64859/891/54908	18
GO:0007088	GO:0007088	regulation of mitotic nuclear division	16/666	107/13131	0.149532710280374	2.94821924728467	4.67714528920994	9.29633178903028e-05	0.0133243077054837	0.012360434762263	55143/991/83540/1111/55055/9212/147841/7039/699/11065/6790/2069/685/891/54908/858	16
GO:0007052	GO:0007052	mitotic spindle organization	18/666	130/13131	0.138461538461538	2.72993762993763	4.58181003264102	9.69559924477342e-05	0.0133243077054837	0.012360434762263	3925/55143/991/163786/83540/9793/440145/9493/9212/29128/6790/56992/25886/79598/891/64946/6867/10783	18
GO:0140013	GO:0140013	meiotic nuclear division	19/666	142/13131	0.133802816901408	2.63808526836696	4.53645027286211	0.0001000981337318	0.0133243077054837	0.012360434762263	2827/991/8438/83540/10635/5888/29893/146956/23397/994/6790/3976/11144/2069/84057/5810/9232/4603/1164	19
GO:0051988	GO:0051988	regulation of attachment of spindle microtubules to kinetochore	7/666	23/13131	0.304347826086957	6.00058754406581	5.54804624768865	0.000100479124083618	0.0133243077054837	0.012360434762263	55143/23411/90417/55055/9212/1894/891	7
GO:0000725	GO:0000725	recombinational repair	23/666	191/13131	0.120418848167539	2.37420404697892	4.42205464335304	0.000102415012941392	0.0133243077054837	0.012360434762263	8438/22891/119392/2237/3014/1111/10635/8089/7334/5888/55159/51659/672/5932/29128/64859/8318/11144/55345/6502/4176/84296/25	23
GO:0006302	GO:0006302	double-strand break repair	32/666	310/13131	0.103225806451613	2.03522231909329	4.26360398765055	0.000105655303391501	0.0133243077054837	0.012360434762263	8438/22891/23411/119392/9937/2237/3014/1111/10635/8091/8089/7334/5888/55159/51659/6605/672/146956/5932/29128/64859/8318/11144/55345/3148/6502/1161/7518/51567/4176/84296/25	32
GO:0006310	GO:0006310	DNA recombination	32/666	310/13131	0.103225806451613	2.03522231909329	4.26360398765055	0.000105655303391501	0.0133243077054837	0.012360434762263	8438/22944/22891/119392/2237/3014/1111/10635/8089/7334/5888/55159/51659/79915/29893/672/146956/5932/29128/64859/8318/11144/55345/84057/3148/3575/6502/7518/4176/84296/51010/25	32
GO:0051321	GO:0051321	meiotic cell cycle	25/666	219/13131	0.114155251141553	2.25070961372331	4.3142481649985	0.000124110342182745	0.0152286744191801	0.01412704065642	2827/991/8438/83540/119504/3014/10635/5888/55329/29893/146956/5932/23397/994/6790/3976/11144/993/2069/84057/5810/9232/4603/1164/85417	25
GO:0000070	GO:0000070	mitotic sister chromatid segregation	22/666	182/13131	0.120879120879121	2.38327888327888	4.34360837619687	0.000136079459930948	0.0158671670839039	0.0147193451200323	55143/991/11004/83540/23411/440145/90417/55055/9493/9212/29128/147841/23397/699/11065/56992/79598/64151/64105/891/54908/54984	22
GO:0051983	GO:0051983	regulation of chromosome segregation	17/666	122/13131	0.139344262295082	2.74734160389898	4.48186852290166	0.000138872210593244	0.0158671670839039	0.0147193451200323	55143/991/11004/83540/23411/55055/9212/6605/147841/23397/699/11065/56852/64151/891/54908/10783	17
GO:0010948	GO:0010948	negative regulation of cell cycle process	29/666	274/13131	0.105839416058394	2.08675281120537	4.20203405672921	0.000142770446884703	0.0158671670839039	0.0147193451200323	55143/991/83540/51514/23411/7465/595/3014/1111/144455/5888/79968/54962/55055/55159/9212/672/146956/5932/147841/699/64859/8318/3976/5810/891/54908/2146/54984	29
GO:0051985	GO:0051985	negative regulation of chromosome segregation	10/666	49/13131	0.204081632653061	4.02371759514617	4.90146076915269	0.000143293799656401	0.0158671670839039	0.0147193451200323	55143/991/83540/23411/55055/9212/147841/699/891/54908	10
GO:0007051	GO:0007051	spindle organization	23/666	197/13131	0.116751269035533	2.3018932638222	4.2556450816829	0.000163686684415125	0.017693751124873	0.0164137950963638	3925/55143/991/163786/83540/9793/440145/90417/9493/9212/10982/29128/23354/6790/56992/25886/79598/891/64946/55521/7430/6867/10783	23
GO:0000724	GO:0000724	double-strand break repair via homologous recombination	22/666	185/13131	0.118918918918919	2.34463111760409	4.2574009878978	0.000172840133944162	0.0182487025141045	0.0169286016134784	8438/22891/119392/2237/3014/1111/10635/8089/7334/5888/55159/51659/672/5932/29128/64859/8318/11144/6502/4176/84296/25	22
GO:0030857	GO:0030857	negative regulation of epithelial cell differentiation	8/666	33/13131	0.242424242424242	4.77968877968878	5.02497441108246	0.000188301321079521	0.0194292726750233	0.0180237699913676	595/3845/10253/161742/1829/200734/182/2146	8
GO:1903046	GO:1903046	meiotic cell cycle process	20/666	162/13131	0.123456790123457	2.4341007674341	4.24528906042619	0.000203378257472896	0.0202377327738852	0.0187737465403002	2827/991/8438/83540/10635/5888/29893/146956/23397/994/6790/3976/11144/993/2069/84057/5810/9232/4603/1164	20
GO:1901989	GO:1901989	positive regulation of cell cycle phase transition	15/666	103/13131	0.145631067961165	2.87129362372081	4.40701989803028	0.0002063384578654	0.0202377327738852	0.0187737465403002	991/163786/51514/6240/7465/595/1111/79915/80174/994/11065/993/891/2146/301	15
GO:0071356	GO:0071356	cellular response to tumor necrosis factor	21/666	175/13131	0.12	2.36594594594595	4.20475217993786	0.000212433363736493	0.0202377327738852	0.0187737465403002	7133/23411/355/27063/330/55504/23405/7057/672/5771/10010/9076/3093/3576/81792/2150/4217/9590/8439/4982/3037	21
