ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0001650	GO:0001650	fibrillar center	15/753	161/19944	0.093167701863354	2.46764494815768	3.70366584509386	0.00117572336693994	0.0305128207134414	0.0267558099544228	3930/23411/79991/9937/84280/23034/57214/23594/84916/6629/7150/54433/7430/221895/1736	15
GO:0000151	GO:0000151	ubiquitin ligase complex	26/753	360/19944	0.0722222222222222	1.9128818061089	3.46225484563566	0.00127338435657603	0.0315452033788153	0.0276610764538525	1912/991/26994/1163/51514/119504/84259/196394/7334/8835/5888/30837/672/64795/11065/56852/25827/84541/200933/54876/55294/6502/26272/1161/1164/56062	26
GO:0031965	GO:0031965	nuclear membrane	24/753	326/19944	0.0736196319018405	1.94989367682644	3.42531377945626	0.00148979385325583	0.0353016369575838	0.0309549844108992	4352/5743/51514/3930/23411/595/29843/8089/89795/84260/145508/57214/64782/129401/54498/55764/11342/4001/3159/26031/349152/10434/2776/25	24
GO:0045121	GO:0045121	membrane raft	22/753	291/19944	0.0756013745704467	2.00238222368259	3.41200260185515	0.00164996291609872	0.0374679078864084	0.0328545247328429	7133/7414/355/10580/867/9495/161742/302/7851/23180/5868/7048/868/10333/84830/7430/7462/858/857/10395/8797/3037	22
GO:0000922	GO:0000922	spindle pole	16/753	185/19944	0.0864864864864865	2.29068590502853	3.49355738180275	0.00179156173551417	0.0376977179406321	0.0330560385225437	991/9793/1663/145508/79768/90417/9212/150468/994/6790/56992/25886/255758/891/54908/10783	16
GO:0098857	GO:0098857	membrane microdomain	22/753	293/19944	0.0750853242320819	1.98871408563697	3.37719496953658	0.00179842324120447	0.0376977179406321	0.0330560385225437	7133/7414/355/10580/867/9495/161742/302/7851/23180/5868/7048/868/10333/84830/7430/7462/858/857/10395/8797/3037	22
GO:0005871	GO:0005871	kinesin complex	7/753	48/19944	0.145833333333333	3.86254980079681	3.93309750919635	0.00203224483104788	0.0408681340106213	0.0358360846756583	11004/9493/3835/3801/81565/56992/11127	7
GO:1990752	GO:1990752	microtubule end	6/753	36/19944	0.166666666666667	4.41434262948207	4.06151877153847	0.00209964725192183	0.0408681340106213	0.0358360846756583	11004/9793/89795/10253/90417/10982	6
GO:0005875	GO:0005875	microtubule associated complex	14/753	157/19944	0.089171974522293	2.36181389093308	3.39329439022684	0.00254900223424418	0.0463520627891783	0.0406447832086663	55143/11004/79768/9493/3835/3801/9212/81565/23354/6790/56992/255758/11127/6990	14
GO:0030687	GO:0030687	preribosome, large subunit precursor	4/753	16/19944	0.25	6.62151394422311	4.45579658540173	0.00255148969481716	0.0463520627891783	0.0406447832086663	10969/51388/55759/84549	4
GO:0019005	GO:0019005	SCF ubiquitin ligase complex	8/753	64/19944	0.125	3.31075697211155	3.66758340564047	0.002720446004533	0.0475133445746979	0.0416630776183734	1163/196394/25827/200933/55294/6502/26272/1164	8
GO:1902911	GO:1902911	protein kinase complex	14/753	159/19944	0.0880503144654088	2.33210554010374	3.34051248589647	0.00286340019059421	0.0475133445746979	0.0416630776183734	1163/595/80174/10010/7048/5562/891/79616/892/4217/10926/1021/1164/85417	14
GO:0045334	GO:0045334	clathrin-coated endocytic vesicle	10/753	94/19944	0.106382978723404	2.81766550818005	3.4989808648492	0.00287695480911015	0.0475133445746979	0.0416630776183734	57214/163/7039/5868/2069/374/685/3575/1839/1211	10
