ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0002065	GO:0002065	columnar/cuboidal epithelial cell differentiation	22/1193	113/18860	0.194690265486726	3.07783604952192	5.75682140461554	1.99157194047803e-06	0.000779558159558542	0.000660213585381024	7161/2263/7481/5916/1045/124093/1747/2302/57521/4087/7040/4909/2016/6714/655/2624/4487/25803/56975/3202/4781/4851	22
GO:0002064	GO:0002064	epithelial cell development	34/1193	226/18860	0.150442477876106	2.37832785644875	5.41691293162131	2.20686617159357e-06	0.000806241774688852	0.000682812136881127	7798/25932/271/54507/51092/81029/5916/10220/440193/64919/30812/5170/10481/2302/2194/27134/5802/1050/7040/6496/6714/7022/54345/7477/3913/7474/2624/25803/3202/6608/642658/7111/4851/546	34
GO:0010977	GO:0010977	negative regulation of neuron projection development	24/1193	132/18860	0.181818181818182	2.87434275699154	5.61549991663038	2.48538373740521e-06	0.0008154141435275	0.000690580284059306	2048/10500/1942/80128/6585/349667/59341/8408/5780/23251/146760/1949/5802/162979/10505/50861/65078/83999/27124/6405/7474/152559/23105/55558	24
GO:0021700	GO:0021700	developmental maturation	47/1193	364/18860	0.129120879120879	2.04125715022614	5.21276237203289	2.52956942335173e-06	0.0008154141435275	0.000690580284059306	23028/81609/2629/57549/7042/5979/51286/10220/253832/1203/4776/30812/26470/535/8506/10882/10481/283987/2302/5064/10365/5864/1050/6261/57731/7040/57030/6496/525/150726/4880/22839/3745/54345/5364/65010/7474/2624/2261/3516/2309/56975/3202/9991/153090/6855/537	47
GO:0050770	GO:0050770	regulation of axonogenesis	25/1193	145/18860	0.172413793103448	2.72566985576784	5.42056985828571	4.19349143782132e-06	0.00127668517107005	0.00108123413738914	2048/57463/10500/1942/80128/5979/6585/4135/8408/1949/5802/84446/10505/65078/23654/2803/5364/6405/7474/6091/6474/2049/23105/5365/55558	25
GO:0055123	GO:0055123	digestive system development	26/1193	155/18860	0.167741935483871	2.65181299515994	5.36594255298165	4.58031050296819e-06	0.00132105797664556	0.00111881379543417	7161/7042/5979/2263/3481/3784/60529/7481/1045/348093/64220/4087/3643/7040/91461/1373/6714/7474/6474/2049/25803/4602/3202/6608/445/4851	26
GO:0060560	GO:0060560	developmental growth involved in morphogenesis	35/1193	246/18860	0.142276422764228	2.24923162894663	5.12494038396688	5.69859355940127e-06	0.00154489872314975	0.00130838618332064	1907/1435/10500/80128/6585/84445/2263/7481/9746/5916/8408/56924/51760/5802/23025/7040/59284/150946/2016/10505/7022/65078/7477/2803/3913/6405/7474/214/23105/26999/5754/8936/81628/4851/55558	35
GO:0051960	GO:0051960	regulation of nervous system development	55/1193	466/18860	0.118025751072961	1.86585554504279	4.91811248377976	5.92023233323808e-06	0.00154489872314975	0.00130838618332064	7161/2048/23028/79727/26508/57463/10500/80128/9283/7832/5129/6585/349667/4135/9746/5916/8408/4776/3706/30812/146760/57555/1949/9001/5802/7040/10505/23363/655/26039/65078/7533/23654/1890/85358/2803/5364/6405/7474/6091/2624/6474/2049/11076/23105/4602/9444/6608/6604/5324/575/4851/23096/5365/55558	55
GO:0048565	GO:0048565	digestive tract development	24/1193	141/18860	0.170212765957447	2.69087407037506	5.23694057676671	8.14255084693555e-06	0.00202823539278213	0.00171772759254253	7161/7042/5979/2263/3784/60529/7481/1045/348093/64220/4087/7040/91461/1373/6714/7474/6474/2049/25803/4602/3202/6608/445/4851	24
GO:0007416	GO:0007416	synapse assembly	38/1193	284/18860	0.133802816901408	2.11527336694096	4.92110404941199	9.97007770600968e-06	0.00237547938386666	0.00201181110324012	2048/57463/9806/6585/349667/9746/41/90668/2562/57524/146760/57555/10672/54549/4884/5802/7087/79414/57622/65078/9215/23654/85358/9901/5364/8927/7474/2049/56133/56122/26999/392617/43/575/84628/23096/5365/55558	38
