ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:1902749	GO:1902749	regulation of cell cycle G2/M phase transition	19/720	122/18860	0.155737704918033	4.07946265938069	6.79829768270599	1.8294963940684e-07	4.98081089663206e-05	4.54491247307779e-05	63967/51514/6240/7465/595/1111/9212/79915/672/80174/5932/64859/994/6790/993/891/1021/22976/54984	19
GO:1902751	GO:1902751	positive regulation of cell cycle G2/M phase transition	10/720	32/18860	0.3125	8.18576388888889	8.10499543227631	1.85928237535e-07	4.98081089663206e-05	4.54491247307779e-05	51514/6240/7465/595/1111/79915/80174/994/993/891	10
GO:0010948	GO:0010948	negative regulation of cell cycle process	33/720	318/18860	0.10377358490566	2.71829140461216	6.15657290064364	2.04926755441086e-07	5.04382678315065e-05	4.60241348939504e-05	63967/55143/991/83540/51514/11130/23411/7465/595/3014/1111/144455/5888/79968/54962/55055/55159/9212/672/146956/5932/147841/699/64859/8318/3976/5810/26272/891/54908/2146/54984/286151	33
GO:0051052	GO:0051052	regulation of DNA metabolic process	44/720	497/18860	0.0885311871227364	2.31902526268723	5.93699150943005	2.0920061315432e-07	5.04382678315065e-05	4.60241348939504e-05	6282/51377/22891/23411/79991/7465/3014/1111/10635/1663/8091/8089/144455/7334/5985/5983/79596/5888/54962/9212/79915/6605/672/80174/4862/150275/993/10721/5984/2069/3575/6502/26272/1161/8464/10926/4176/22976/54984/79075/4609/51010/25/1736	44
GO:0007093	GO:0007093	mitotic cell cycle checkpoint signaling	20/720	136/18860	0.147058823529412	3.85212418300654	6.65036537067752	2.29586373788784e-07	5.05500290841046e-05	4.61261152986438e-05	63967/55143/991/83540/51514/11130/595/1111/54962/55055/55159/9212/672/146956/5932/147841/699/64859/891/54908	20
GO:1901988	GO:1901988	negative regulation of cell cycle phase transition	30/720	274/18860	0.109489051094891	2.86800486618005	6.20536390742652	2.30630576493219e-07	5.05500290841046e-05	4.61261152986438e-05	63967/55143/991/83540/51514/11130/7465/595/3014/1111/144455/5888/79968/54962/55055/55159/9212/672/146956/5932/147841/699/64859/8318/5810/26272/891/54908/2146/54984	30
GO:0044839	GO:0044839	cell cycle G2/M phase transition	22/720	162/18860	0.135802469135802	3.55727023319616	6.51243632599014	2.42406239778919e-07	5.08209951397369e-05	4.63733676098802e-05	63967/991/51514/6240/7465/595/1111/9212/79915/672/80174/5932/64859/994/6790/993/6502/891/1021/22976/54984/9833	22
GO:0098813	GO:0098813	nuclear chromosome segregation	33/720	323/18860	0.102167182662539	2.67621259029928	6.05365367536105	2.94254228909801e-07	5.91205788251274e-05	5.39466086334634e-05	55143/991/11004/83540/11130/23411/440145/90417/55055/9493/3835/9212/6605/29893/29128/147841/23397/699/11065/6790/11144/56992/79598/1894/64151/84057/64105/891/9232/54908/55166/54984/10783	33
GO:0000070	GO:0000070	mitotic sister chromatid segregation	24/720	192/18860	0.125	3.27430555555556	6.31040840810175	3.35101488218155e-07	6.46343750475177e-05	5.89778619263952e-05	55143/991/11004/83540/11130/23411/440145/90417/55055/9493/3835/9212/29128/147841/23397/699/11065/56992/79598/64151/64105/891/54908/54984	24
GO:1901990	GO:1901990	regulation of mitotic cell cycle phase transition	35/720	357/18860	0.0980392156862745	2.56808278867102	5.95921368726981	3.49080785343069e-07	6.47410594970876e-05	5.90752098272886e-05	63967/55143/991/1031/163786/83540/51514/11130/6240/7465/595/1111/144455/55055/55159/9212/79915/6605/672/80174/5932/147841/699/64859/994/11065/6790/993/891/54908/1021/2146/54984/301/10783	35
